web_scraper_order,web_scraper_start_url,pagination,data,data2,data3,data4,data5,data6,data7,data8,data9,data10,data11,position,position2,position3,position4,image,image2,image3,item_page_title,item_page_link,image_0
"1778040220-11","https://www.theplancollection.com/collections/one-story-house-plans","","#142-1264","1493","$1345","Plan","Sq Ft","Story","Bed","Starting at","Bath","Car","","1","3","2","2","https://www.theplancollection.com/_next/image?url=https%3A%2F%2Fwww.theplancollection.com%2FUpload%2FDesigners%2F142%2F1264%2FPlan1421264MainImage_13_5_2021_0.jpg&w=1920&q=100","https://www.theplancollection.com/_next/image?url=%2FIcon_-_Flip-SVG.svg&w=48&q=75","https://www.theplancollection.com/_next/image?url=%2FIcon_-_Fav-SVG.svg&w=48&q=75","","https://www.theplancollection.com/house-plans/plan-1493-square-feet-3-bedroom-2-bathroom-ranch-style-32548","https://www.theplancollection.com/_next/image?url=https%3A%2F%2Fwww.theplancollection.com%2FUpload%2FDesigners%2F142%2F1264%2FPlan1421264Image_13_5_2021_035_51.jpg&w=1920&q=100
https://www.theplancollection.com/_next/image?url=https%3A%2F%2Fwww.theplancollection.com%2FUpload%2FDesigners%2F142%2F1264%2FPlan1421264Image_13_5_2021_032_17.jpg&w=1920&q=100"
"1778040223-12","https://www.theplancollection.com/collections/one-story-house-plans","","#153-1095","3766","$1850","Plan","Sq Ft","Story","Bed","Starting at","Bath","Car","","1","4","4","3","https://www.theplancollection.com/_next/image?url=https%3A%2F%2Fwww.theplancollection.com%2FUpload%2FDesigners%2F153%2F1095%2FPlan1531095MainImage_12_12_2025_11.png&w=1920&q=100","https://www.theplancollection.com/_next/image?url=%2FIcon_-_Flip-SVG.svg&w=48&q=75","https://www.theplancollection.com/_next/image?url=%2FIcon_-_Fav-SVG.svg&w=48&q=75","","https://www.theplancollection.com/house-plans/home-plan-26111","https://www.theplancollection.com/_next/image?url=https%3A%2F%2Fwww.theplancollection.com%2FUpload%2FDesigners%2F153%2F1095%2FPlan1531095Image_18_6_2019_1559_31.jpg&w=1920&q=100
https://www.theplancollection.com/_next/image?url=https%3A%2F%2Fwww.theplancollection.com%2FUpload%2FDesigners%2F153%2F1095%2FPlan1531095Image_21_6_2019_1556_21.jpg&w=1920&q=100"
"1778040227-13","https://www.theplancollection.com/collections/one-story-house-plans","","#142-1433","1498","$1345","Plan","Sq Ft","Story","Bed","Starting at","Bath","Car","","1","3","2","3","https://www.theplancollection.com/_next/image?url=https%3A%2F%2Fwww.theplancollection.com%2FUpload%2FDesigners%2F142%2F1433%2FPlan1421433MainImage_28_7_2022_9.jpg&w=1920&q=100","https://www.theplancollection.com/_next/image?url=%2FIcon_-_Flip-SVG.svg&w=48&q=75","https://www.theplancollection.com/_next/image?url=%2FIcon_-_Fav-SVG.svg&w=48&q=75","","https://www.theplancollection.com/house-plans/plan-1498-square-feet-3-bedroom-2-bathroom-ranch-style-33064","https://www.theplancollection.com/_next/image?url=https%3A%2F%2Fwww.theplancollection.com%2FUpload%2FDesigners%2F142%2F1433%2FPlan1421433Image_18_8_2023_1147_43.jpg&w=1920&q=100
https://www.theplancollection.com/_next/image?url=https%3A%2F%2Fwww.theplancollection.com%2FUpload%2FDesigners%2F142%2F1433%2FPlan1421433Image_28_7_2022_957_19.jpg&w=1920&q=100"
"1778040230-14","https://www.theplancollection.com/collections/one-story-house-plans","","#142-1041","1300","$1345","Plan","Sq Ft","Story","Bed","Starting at","Bath","Car","","1","3","2","2","https://www.theplancollection.com/_next/image?url=https%3A%2F%2Fwww.theplancollection.com%2FUpload%2FDesigners%2F142%2F1041%2FPlan1421041MainImage_27_1_2026_11.jpg&w=1920&q=100","https://www.theplancollection.com/_next/image?url=%2FIcon_-_Flip-SVG.svg&w=48&q=75","https://www.theplancollection.com/_next/image?url=%2FIcon_-_Fav-SVG.svg&w=48&q=75","","https://www.theplancollection.com/house-plans/home-plan-26336","https://www.theplancollection.com/_next/image?url=https%3A%2F%2Fwww.theplancollection.com%2FUpload%2FDesigners%2F142%2F1041%2FPlan1421041Image_21_11_2013_1446_49.jpg&w=1920&q=100
https://www.theplancollection.com/_next/image?url=https%3A%2F%2Fwww.theplancollection.com%2FUpload%2FDesigners%2F142%2F1041%2FPlan1421041Image_18_3_2016_1529_35.jpg&w=1920&q=100"
"1778040234-15","https://www.theplancollection.com/collections/one-story-house-plans","","#178-1345","395","$680","Plan","Sq Ft","Story","Bed","Starting at","Bath","Car","","1","1","1","0","https://www.theplancollection.com/_next/image?url=https%3A%2F%2Fwww.theplancollection.com%2FUpload%2FDesigners%2F178%2F1345%2FPlan1781345MainImage_20_9_2016_0.jpg&w=1920&q=100","https://www.theplancollection.com/_next/image?url=%2FIcon_-_Flip-SVG.svg&w=48&q=75","https://www.theplancollection.com/_next/image?url=%2FIcon_-_Fav-SVG.svg&w=48&q=75","","https://www.theplancollection.com/house-plans/home-plan-29119","https://www.theplancollection.com/_next/image?url=https%3A%2F%2Fwww.theplancollection.com%2FUpload%2FDesigners%2F178%2F1345%2FPlan1781345Image_31_8_2022_1126_56.jpg&w=1920&q=100"
"1778040237-16","https://www.theplancollection.com/collections/one-story-house-plans","","#211-1001","967","$900","Plan","Sq Ft","Story","Bed","Starting at","Bath","Car","","1","3","2","0","https://www.theplancollection.com/_next/image?url=https%3A%2F%2Fwww.theplancollection.com%2FUpload%2FDesigners%2F211%2F1001%2FPlan2111001MainImage_22_12_2023_12.jpg&w=1920&q=100","https://www.theplancollection.com/_next/image?url=%2FIcon_-_Flip-SVG.svg&w=48&q=75","https://www.theplancollection.com/_next/image?url=%2FIcon_-_Fav-SVG.svg&w=48&q=75","","https://www.theplancollection.com/house-plans/plan-967-square-feet-3-bedroom-2-bathroom-ranch-style-31683","https://www.theplancollection.com/_next/image?url=https%3A%2F%2Fwww.theplancollection.com%2FUpload%2FDesigners%2F211%2F1001%2FPlan2111001Image_22_11_2019_115_52.jpg&w=1920&q=100"
"1778040240-17","https://www.theplancollection.com/collections/one-story-house-plans","","#177-1057","928","$1195","Plan","Sq Ft","Story","Bed","Starting at","Bath","Car","","1","2","2","2","https://www.theplancollection.com/_next/image?url=https%3A%2F%2Fwww.theplancollection.com%2FUpload%2FDesigners%2F177%2F1057%2FPlan1771057MainImage_10_7_2020_16.jpg&w=1920&q=100","https://www.theplancollection.com/_next/image?url=%2FIcon_-_Flip-SVG.svg&w=48&q=75","https://www.theplancollection.com/_next/image?url=%2FIcon_-_Fav-SVG.svg&w=48&q=75","","https://www.theplancollection.com/house-plans/home-plan-32015","https://www.theplancollection.com/_next/image?url=https%3A%2F%2Fwww.theplancollection.com%2FUpload%2FDesigners%2F177%2F1057%2FPlan1771057Image_12_3_2024_1247_47.jpg&w=1920&q=100
https://www.theplancollection.com/_next/image?url=https%3A%2F%2Fwww.theplancollection.com%2FUpload%2FDesigners%2F177%2F1057%2FPlan1771057Image_12_3_2024_1248_10.jpg&w=1920&q=100"
"1778040244-18","https://www.theplancollection.com/collections/one-story-house-plans","","#198-1015","3773","$2795","Plan","Sq Ft","Story","Bed","Starting at","Bath","Car","","1","4","4","3","https://www.theplancollection.com/_next/image?url=https%3A%2F%2Fwww.theplancollection.com%2FUpload%2FDesigners%2F198%2F1015%2FPlan1981015MainImage_16_3_2018_15.jpg&w=1920&q=100","https://www.theplancollection.com/_next/image?url=%2FIcon_-_Flip-SVG.svg&w=48&q=75","https://www.theplancollection.com/_next/image?url=%2FIcon_-_Fav-SVG.svg&w=48&q=75","","https://www.theplancollection.com/house-plans/home-plan-30606","https://www.theplancollection.com/_next/image?url=https%3A%2F%2Fwww.theplancollection.com%2FUpload%2FDesigners%2F198%2F1015%2FPlan1981015Image_21_10_2019_1531_50.jpg&w=1920&q=100
https://www.theplancollection.com/_next/image?url=https%3A%2F%2Fwww.theplancollection.com%2FUpload%2FDesigners%2F198%2F1015%2FPlan1981015Image_21_10_2019_1532_45.jpg&w=1920&q=100"
"1778040247-19","https://www.theplancollection.com/collections/one-story-house-plans","","#117-1092","2091","$1295","Plan","Sq Ft","Story","Bed","Starting at","Bath","Car",".5","1","3","2","2","https://www.theplancollection.com/_next/image?url=https%3A%2F%2Fwww.theplancollection.com%2FUpload%2FDesigners%2F117%2F1092%2FPlan1171092MainImage_13_2_2026_12.jpg&w=1920&q=100","https://www.theplancollection.com/_next/image?url=%2FIcon_-_Flip-SVG.svg&w=48&q=75","https://www.theplancollection.com/_next/image?url=%2FIcon_-_Fav-SVG.svg&w=48&q=75","","https://www.theplancollection.com/house-plans/home-plan-26269","https://www.theplancollection.com/_next/image?url=https%3A%2F%2Fwww.theplancollection.com%2FUpload%2FDesigners%2F117%2F1092%2FPlan1171092Image_4_2_2013_629_4.jpg&w=1920&q=100
https://www.theplancollection.com/_next/image?url=https%3A%2F%2Fwww.theplancollection.com%2FUpload%2FDesigners%2F117%2F1092%2FPlan1171092Image_21_10_2019_159_50.jpg&w=1920&q=100
https://www.theplancollection.com/_next/image?url=https%3A%2F%2Fwww.theplancollection.com%2FUpload%2FDesigners%2F117%2F1092%2FPlan1171092Image_4_2_2013_629_47.jpg&w=1920&q=100
https://www.theplancollection.com/_next/image?url=https%3A%2F%2Fwww.theplancollection.com%2FUpload%2FDesigners%2F117%2F1092%2FPlan1171092Image_12_7_2018_944_41.jpg&w=1920&q=100
https://www.theplancollection.com/_next/image?url=https%3A%2F%2Fwww.theplancollection.com%2FUpload%2FDesigners%2F117%2F1092%2FPlan1171092Image_16_5_2014_534_59.jpg&w=1920&q=100
https://www.theplancollection.com/_next/image?url=https%3A%2F%2Fwww.theplancollection.com%2FUpload%2FDesigners%2F117%2F1092%2FPlan1171092Image_16_5_2014_536_37.jpg&w=1920&q=100"
"1778040251-20","https://www.theplancollection.com/collections/one-story-house-plans","","#123-1112","1611","$1120","Plan","Sq Ft","Story","Bed","Starting at","Bath","Car","","1","3","2","2","https://www.theplancollection.com/_next/image?url=https%3A%2F%2Fwww.theplancollection.com%2FUpload%2FDesigners%2F123%2F1112%2FPlan1231112MainImage_10_3_2025_13.png&w=1920&q=100","https://www.theplancollection.com/_next/image?url=%2FIcon_-_Flip-SVG.svg&w=48&q=75","https://www.theplancollection.com/_next/image?url=%2FIcon_-_Fav-SVG.svg&w=48&q=75","","https://www.theplancollection.com/house-plans/home-plan-31546","https://www.theplancollection.com/_next/image?url=https%3A%2F%2Fwww.theplancollection.com%2FUpload%2FDesigners%2F123%2F1112%2FPlan1231112Image_14_5_2020_833_3.jpg&w=1920&q=100"
